age,salary,experience,education_level,city_tier,purchased
56,60794,4,0,1,1
46,99459,3,0,2,1
32,137932,1,2,1,0
25,70192,11,0,2,1
38,47703,2,0,1,0
56,104193,5,0,2,1
36,89165,13,1,1,1
40,87650,7,2,1,1
28,76516,13,0,2,1
28,119981,2,2,2,0
41,149858,15,0,3,1
53,121398,14,2,1,1
57,111110,6,0,1,1
41,117885,14,1,2,1
20,42257,12,1,2,0
39,120588,5,1,1,1
19,123356,14,0,1,1
41,141750,16,2,2,1
47,103509,3,0,2,1
55,111273,13,1,1,1
19,71672,14,0,2,1
38,83308,11,2,2,1
50,97583,18,1,1,1
29,139336,9,0,3,1
39,42113,5,2,2,0
42,20694,8,1,3,0
44,142495,1,2,2,0
59,35588,3,2,3,0
45,81756,8,1,2,1
33,84085,14,0,3,1
32,131359,12,0,3,1
20,134384,19,0,2,1
54,81142,7,0,3,1
24,84373,18,2,1,1
38,105603,18,0,1,1
26,26704,15,0,1,0
56,60136,10,2,3,1
35,87507,9,2,2,1
21,67361,7,1,3,1
42,78847,0,2,2,0
31,126359,9,1,3,1
26,31441,17,1,2,0
43,117012,2,0,3,0
19,138906,10,0,3,1
37,34677,17,0,1,0
45,47818,2,2,3,0
24,21868,7,2,1,0
25,103591,13,0,2,1
52,143962,5,0,2,1
31,87264,14,2,1,1
34,93168,13,1,3,1
53,32043,6,1,2,0
57,91939,9,0,3,1
21,35732,14,0,3,0
19,75244,9,0,3,1
23,38526,16,1,2,0
59,29340,18,0,2,0
21,124488,16,1,3,1
46,42394,11,2,1,0
35,118557,14,2,1,1
43,24102,11,2,1,0
51,121846,8,0,3,1
27,39159,4,2,1,0
53,142366,3,1,2,1
31,85092,11,1,1,1
48,26212,15,1,1,0
32,117360,8,0,3,1
25,57405,2,0,2,0
31,97061,2,1,2,0
40,114296,17,1,1,1
57,75186,16,1,3,1
38,64239,9,1,3,1
33,130804,1,2,1,0
35,112993,10,1,2,1
41,143145,2,0,2,0
43,133551,1,0,2,0
42,30532,8,0,3,0
58,99054,18,0,1,1
46,92012,1,0,3,0
32,137836,18,1,2,1
18,105279,1,1,3,0
42,86540,14,2,2,1
24,128590,2,2,1,0
26,123021,4,2,2,1
41,23271,10,1,1,0
18,65482,6,2,3,1
25,20209,5,1,3,0
41,110999,13,0,3,1
28,25539,0,1,2,0
34,134841,16,1,1,1
25,39977,16,0,3,0
52,94142,13,0,3,1
52,129920,9,0,1,1
50,148156,7,2,2,1
22,119588,7,2,3,1
59,88684,13,2,2,1
56,119072,6,0,2,1
58,143862,5,2,2,1
45,25607,3,0,3,0
24,105122,0,0,3,0
26,114786,14,0,1,1
25,146406,14,2,1,1
29,71939,0,2,2,0
51,38594,19,0,3,0
50,78382,2,2,2,0
40,27399,4,1,1,0
41,141026,4,2,2,1
54,146812,3,0,2,1
52,45117,16,0,3,0
57,118662,19,0,2,1
39,53617,13,1,2,0
44,27498,7,0,3,0
